,Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Valid Values,Question,Core Section Number,Module Number
PVTRESD3,Do you live in a private residence?,Cell Phone Introduction,0,6,83,Num,PVTRESD3,Variable only on the cell phone survey,"{'1': {'Value Label': 'Yes\x97Go to CP.08, CSTATE1', 'Frequency': '347,749', 'Percentage': '99.62', 'Weighted Percentage': '99.37'}, '2': {'Value Label': 'No\x97Go to CP.07 CCLGHOUS', 'Frequency': '1,325', 'Percentage': '0.38', 'Weighted Percentage': '0.63'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER < 20', 'Frequency': '96,058', 'Percentage': '.', 'Weighted Percentage': '.'}}","Do you live in a private residence?  (By private residence, we mean someplace like a house or apartment.)",,
CCLGHOUS,Do you live in college housing?,Cell Phone Introduction,0,7,84,Num,CCLGHOUS,Variable only on the cell phone survey,"{'1': {'Value Label': 'Yes\x97Go to CP.08, CSTATE1', 'Frequency': '1,325', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}, 'BLANK': {'Value Label': 'Missing\nNotes: QSTVER < 20; or CP.06, PVTRESD3, is coded 1', 'Frequency': '443,807', 'Percentage': '.', 'Weighted Percentage': '.'}}",Do you live in college housing?,,
CSTATE1,Do you currently live in  ____(state)____?,Cell Phone Introduction,0,8,85,Num,CSTATE1,Variable only on the cell phone survey,"{'1': {'Value Label': 'Yes\x97Go to CP.10, LANDLINE', 'Frequency': '329,216', 'Percentage': '94.31', 'Weighted Percentage': '89.18'}, '2': {'Value Label': 'No\x97Go to CP.09, RSPSTAT1', 'Frequency': '19,856', 'Percentage': '5.69', 'Weighted Percentage': '10.82'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER < 20', 'Frequency': '96,060', 'Percentage': '.', 'Weighted Percentage': '.'}}",Do you currently live in  ____(state)____?,,
LANDLINE,Do you also have a landline telephone?,Cell Phone Introduction,0,10,88,Num,LANDLINE,Variable only on the cell phone survey,"{'1': {'Value Label': 'Yes', 'Frequency': '75,600', 'Percentage': '21.66', 'Weighted Percentage': '30.16'}, '2': {'Value Label': 'No', 'Frequency': '272,138', 'Percentage': '77.96', 'Weighted Percentage': '69.55'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '675', 'Percentage': '0.19', 'Weighted Percentage': '0.18'}, '9': {'Value Label': 'Refused', 'Frequency': '658', 'Percentage': '0.19', 'Weighted Percentage': '0.11'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER < 20; or RSPSTAT1=77 or 99', 'Frequency': '96,061', 'Percentage': '.', 'Weighted Percentage': '.'}}",Do you also have a landline telephone in your home that is used to make and receive calls?,,
HHADULT,Number of Adults in Household,Cell Phone Introduction,0,11,89-90,Num,HHADULT,Variable only on the cell phone survey,"{'0': {'Value Label': '', 'Frequency': '4', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, '1 - 76': {'Value Label': 'Number of adults', 'Frequency': '345,640', 'Percentage': '99.02', 'Weighted Percentage': '98.90'}, '88': {'Value Label': '', 'Frequency': '3', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, '77': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '880', 'Percentage': '0.25', 'Weighted Percentage': '0.33'}, '99': {'Value Label': 'Refused', 'Frequency': '2,544', 'Percentage': '0.73', 'Weighted Percentage': '0.78'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: QSTVER < 20; or RSPSTAT1=77 or 99', 'Frequency': '96,061', 'Percentage': '.', 'Weighted Percentage': '.'}}","How many members of your household, including yourself, are 18 years of age or older?",,
SEXVAR,Sex of Respondent,Respondent Sex,0,1,91,Num,SEXVAR,Question:  Sex of Respondent,"{'1': {'Value Label': 'Male\x97Code=1 if LANDSEX1=1 or CELLSEX1=1 or COLGSEX1=1', 'Frequency': '209,239', 'Percentage': '47.01', 'Weighted Percentage': '48.69'}, '2': {'Value Label': 'Female\x97Code=2 if LANDSEX1=2 or CELLSEX1=2 or COLGSEX1=2', 'Frequency': '235,893', 'Percentage': '52.99', 'Weighted Percentage': '51.31'}}",,,
GENHLTH,General Health,Health Status,,1,101,Num,GENHLTH,Question:  Would you say that in general your health is:,"{'1': {'Value Label': 'Excellent', 'Frequency': '71,878', 'Percentage': '16.15', 'Weighted Percentage': '17.40'}, '2': {'Value Label': 'Very good', 'Frequency': '148,444', 'Percentage': '33.35', 'Weighted Percentage': '31.84'}, '3': {'Value Label': 'Good', 'Frequency': '143,598', 'Percentage': '32.26', 'Weighted Percentage': '32.48'}, '4': {'Value Label': 'Fair', 'Frequency': '60,273', 'Percentage': '13.54', 'Weighted Percentage': '13.69'}, '5': {'Value Label': 'Poor', 'Frequency': '19,741', 'Percentage': '4.43', 'Weighted Percentage': '4.29'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '810', 'Percentage': '0.18', 'Weighted Percentage': '0.19'}, '9': {'Value Label': 'Refused', 'Frequency': '385', 'Percentage': '0.09', 'Weighted Percentage': '0.10'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '3', 'Percentage': '.', 'Weighted Percentage': '.'}}",,1,
PHYSHLTH,Number of Days Physical Health Not Good,Healthy Days,,1,102-103,Num,PHYSHLTH,"Question:  Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?","{'1 - 30': {'Value Label': 'Number of days', 'Frequency': '166,386', 'Percentage': '37.38', 'Weighted Percentage': '36.75'}, '88': {'Value Label': 'None', 'Frequency': '267,819', 'Percentage': '60.17', 'Weighted Percentage': '60.54'}, '77': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '8,875', 'Percentage': '1.99', 'Weighted Percentage': '2.21'}, '99': {'Value Label': 'Refused', 'Frequency': '2,047', 'Percentage': '0.46', 'Weighted Percentage': '0.50'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '5', 'Percentage': '.', 'Weighted Percentage': '.'}}",,2,
MENTHLTH,Number of Days Mental Health Not Good,Healthy Days,,2,104-105,Num,MENTHLTH,"Question:  Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?","{'1 - 30': {'Value Label': 'Number of days\nNotes: _ _ Number of days', 'Frequency': '170,836', 'Percentage': '38.38', 'Weighted Percentage': '41.49'}, '88': {'Value Label': 'None', 'Frequency': '265,229', 'Percentage': '59.58', 'Weighted Percentage': '56.10'}, '77': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '6,589', 'Percentage': '1.48', 'Weighted Percentage': '1.76'}, '99': {'Value Label': 'Refused', 'Frequency': '2,475', 'Percentage': '0.56', 'Weighted Percentage': '0.65'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '3', 'Percentage': '.', 'Weighted Percentage': '.'}}",,2,
POORHLTH,Poor Physical or Mental Health,Healthy Days,,3,106-107,Num,POORHLTH,"Question:  During the past 30 days, for about how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","{'1 - 30': {'Value Label': 'Number of days\nNotes: _ _ Number of days', 'Frequency': '119,802', 'Percentage': '46.84', 'Weighted Percentage': '47.92'}, '88': {'Value Label': 'None', 'Frequency': '129,472', 'Percentage': '50.63', 'Weighted Percentage': '49.00'}, '77': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '5,065', 'Percentage': '1.98', 'Weighted Percentage': '2.44'}, '99': {'Value Label': 'Refused', 'Frequency': '1,407', 'Percentage': '0.55', 'Weighted Percentage': '0.63'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 02.01, PHYSHLTH, is 88 and Section 2.02, MENTHLTH, is 88', 'Frequency': '189,386', 'Percentage': '.', 'Weighted Percentage': '.'}}",,2,
PRIMINSR,What is Primary Source of Health Insurance?,Health Care Access,,1,108-109,Num,PRIMINSR,Question:  What is the current primary source of your health insurance?,"{'1': {'Value Label': 'A plan purchased through an employer or union (including plans purchased through another person´s employer)', 'Frequency': '161,388', 'Percentage': '36.26', 'Weighted Percentage': '39.07'}, '2': {'Value Label': 'A private nongovernmental plan that you or another family member buys on your own', 'Frequency': '36,931', 'Percentage': '8.30', 'Weighted Percentage': '9.28'}, '3': {'Value Label': 'Medicare', 'Frequency': '135,848', 'Percentage': '30.52', 'Weighted Percentage': '20.78'}, '4': {'Value Label': 'Medigap', 'Frequency': '536', 'Percentage': '0.12', 'Weighted Percentage': '0.15'}, '5': {'Value Label': 'Medicaid', 'Frequency': '29,072', 'Percentage': '6.53', 'Weighted Percentage': '8.51'}, '6': {'Value Label': 'Children´s Health Insurance Program (CHIP)', 'Frequency': '188', 'Percentage': '0.04', 'Weighted Percentage': '0.06'}, '7': {'Value Label': 'Military related health care: TRICARE (CHAMPUS) / VA health care / CHAMP- VA', 'Frequency': '15,373', 'Percentage': '3.45', 'Weighted Percentage': '3.28'}, '8': {'Value Label': 'Indian Health Service', 'Frequency': '1,385', 'Percentage': '0.31', 'Weighted Percentage': '0.17'}, '9': {'Value Label': 'State sponsored health plan', 'Frequency': '12,878', 'Percentage': '2.89', 'Weighted Percentage': '2.76'}, '10': {'Value Label': 'Other government program', 'Frequency': '10,630', 'Percentage': '2.39', 'Weighted Percentage': '2.70'}, '88': {'Value Label': 'No coverage of any type', 'Frequency': '23,018', 'Percentage': '5.17', 'Weighted Percentage': '8.07'}, '77': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '9,890', 'Percentage': '2.22', 'Weighted Percentage': '3.22'}, '99': {'Value Label': 'Refused', 'Frequency': '7,991', 'Percentage': '1.80', 'Weighted Percentage': '1.95'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '4', 'Percentage': '.', 'Weighted Percentage': '.'}}",,3,
PERSDOC3,Have Personal Health Care Provider?,Health Care Access,,2,110,Num,PERSDOC3,Question:  Do you have one person or a group of doctors that you think of as your personal health care provider?,"{'1': {'Value Label': 'Yes, only one', 'Frequency': '246,967', 'Percentage': '55.48', 'Weighted Percentage': '52.27'}, '2': {'Value Label': 'More than one', 'Frequency': '136,685', 'Percentage': '30.71', 'Weighted Percentage': '28.78'}, '3': {'Value Label': 'No', 'Frequency': '57,105', 'Percentage': '12.83', 'Weighted Percentage': '17.65'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '3,270', 'Percentage': '0.73', 'Weighted Percentage': '1.01'}, '9': {'Value Label': 'Refused', 'Frequency': '1,103', 'Percentage': '0.25', 'Weighted Percentage': '0.29'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '2', 'Percentage': '.', 'Weighted Percentage': '.'}}",,3,
MEDCOST1,Could Not Afford To See Doctor,Health Care Access,,3,111,Num,MEDCOST1,Question:  Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?,"{'1': {'Value Label': 'Yes', 'Frequency': '37,227', 'Percentage': '8.36', 'Weighted Percentage': '11.06'}, '2': {'Value Label': 'No', 'Frequency': '406,296', 'Percentage': '91.28', 'Weighted Percentage': '88.47'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '1,157', 'Percentage': '0.26', 'Weighted Percentage': '0.34'}, '9': {'Value Label': 'Refused', 'Frequency': '448', 'Percentage': '0.10', 'Weighted Percentage': '0.13'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '4', 'Percentage': '.', 'Weighted Percentage': '.'}}",,3,
CHECKUP1,Length of time since last routine checkup,Health Care Access,,4,112,Num,CHECKUP1,Question:  About how long has it been since you last visited a doctor for a routine checkup?,"{'1': {'Value Label': 'Within past year (anytime less than 12 months ago)', 'Frequency': '350,944', 'Percentage': '78.84', 'Weighted Percentage': '74.97'}, '2': {'Value Label': 'Within past 2 years (1 year but less than 2 years ago)', 'Frequency': '41,919', 'Percentage': '9.42', 'Weighted Percentage': '10.74'}, '3': {'Value Label': 'Within past 5 years (2 years but less than 5 years ago)', 'Frequency': '24,882', 'Percentage': '5.59', 'Weighted Percentage': '6.75'}, '4': {'Value Label': '5 or more years ago', 'Frequency': '19,079', 'Percentage': '4.29', 'Weighted Percentage': '5.13'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '5,063', 'Percentage': '1.14', 'Weighted Percentage': '1.39'}, '8': {'Value Label': 'Never', 'Frequency': '2,509', 'Percentage': '0.56', 'Weighted Percentage': '0.83'}, '9': {'Value Label': 'Refused', 'Frequency': '733', 'Percentage': '0.16', 'Weighted Percentage': '0.20'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '3', 'Percentage': '.', 'Weighted Percentage': '.'}}",,3,
EXERANY2,Exercise in Past 30 Days,Exercise,,1,113,Num,EXERANY2,"Question:  During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?","{'1': {'Value Label': 'Yes', 'Frequency': '337,559', 'Percentage': '75.83', 'Weighted Percentage': '75.85'}, '2': {'Value Label': 'No', 'Frequency': '106,480', 'Percentage': '23.92', 'Weighted Percentage': '23.85'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '724', 'Percentage': '0.16', 'Weighted Percentage': '0.18'}, '9': {'Value Label': 'Refused', 'Frequency': '367', 'Percentage': '0.08', 'Weighted Percentage': '0.11'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '2', 'Percentage': '.', 'Weighted Percentage': '.'}}",,4,
SLEPTIM1,How Much Time Do You Sleep,Inadequate Sleep,,1,114-115,Num,SLEPTIM1,"Question:  On average, how many hours of sleep do you get in a 24-hour period?","{'1 - 24': {'Value Label': 'Number of hours [1-24]', 'Frequency': '439,679', 'Percentage': '98.78', 'Weighted Percentage': '98.57'}, '77': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '4,792', 'Percentage': '1.08', 'Weighted Percentage': '1.23'}, '99': {'Value Label': 'Refused', 'Frequency': '658', 'Percentage': '0.15', 'Weighted Percentage': '0.21'}, 'BLANK': {'Value Label': 'Missing', 'Frequency': '3', 'Percentage': '.', 'Weighted Percentage': '.'}}",,5,
LASTDEN4,Last Visited Dentist or Dental Clinic,Oral Health,,1,116,Num,LASTDEN4,"Question:  Including all types of dentists, such as orthodontists, oral surgeons, and all other dental specialists, as well as dental hygienists, how long has it been since you last visited a dentist or a dental clinic for any reason?","{'1': {'Value Label': 'Within the past year (anytime < 12 months ago)', 'Frequency': '292,408', 'Percentage': '65.89', 'Weighted Percentage': '62.93'}, '2': {'Value Label': 'Within the past 2 years (1 year but < 2 years ago)', 'Frequency': '50,326', 'Percentage': '11.34', 'Weighted Percentage': '12.69'}, '3': {'Value Label': 'Within the past 5 years (2 years but < 5 years ago)', 'Frequency': '46,987', 'Percentage': '10.59', 'Weighted Percentage': '11.31'}, '4': {'Value Label': '5 or more years ago', 'Frequency': '44,828', 'Percentage': '10.10', 'Weighted Percentage': '10.21'}, '5': {'Value Label': '', 'Frequency': '4', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '4,866', 'Percentage': '1.10', 'Weighted Percentage': '1.30'}, '8': {'Value Label': 'Never', 'Frequency': '3,562', 'Percentage': '0.80', 'Weighted Percentage': '1.36'}, '9': {'Value Label': 'Refused', 'Frequency': '788', 'Percentage': '0.18', 'Weighted Percentage': '0.20'}, 'BLANK': {'Value Label': 'Missing', 'Frequency': '1,363', 'Percentage': '.', 'Weighted Percentage': '.'}}",,6,
RMVTETH4,Number of Permanent Teeth Removed,Oral Health,,2,117,Num,RMVTETH4,"Question:  Not including teeth lost for injury or orthodontics, how many of your permanent teeth have been removed because of tooth decay or gum disease?","{'1': {'Value Label': '1 to 5', 'Frequency': '129,294', 'Percentage': '29.14', 'Weighted Percentage': '27.60'}, '2': {'Value Label': '6 or more, but not all', 'Frequency': '45,570', 'Percentage': '10.27', 'Weighted Percentage': '8.72'}, '3': {'Value Label': 'All', 'Frequency': '25,453', 'Percentage': '5.74', 'Weighted Percentage': '4.57'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '8,563', 'Percentage': '1.93', 'Weighted Percentage': '1.72'}, '8': {'Value Label': 'None', 'Frequency': '233,455', 'Percentage': '52.61', 'Weighted Percentage': '57.06'}, '9': {'Value Label': 'Refused', 'Frequency': '1,434', 'Percentage': '0.32', 'Weighted Percentage': '0.33'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '1,363', 'Percentage': '.', 'Weighted Percentage': '.'}}",,6,
CVDINFR4,Ever Diagnosed with Heart Attack,Chronic Health Conditions,,1,118,Num,CVDINFR4,"Question:  (Ever told) you had a heart attack, also called a myocardial infarction?","{'1': {'Value Label': 'Yes', 'Frequency': '25,108', 'Percentage': '5.64', 'Weighted Percentage': '4.38'}, '2': {'Value Label': 'No', 'Frequency': '416,959', 'Percentage': '93.67', 'Weighted Percentage': '94.83'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '2,731', 'Percentage': '0.61', 'Weighted Percentage': '0.69'}, '9': {'Value Label': 'Refused', 'Frequency': '330', 'Percentage': '0.07', 'Weighted Percentage': '0.09'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '4', 'Percentage': '.', 'Weighted Percentage': '.'}}",,7,
CVDCRHD4,Ever Diagnosed with Angina or Coronary Heart Disease,Chronic Health Conditions,,2,119,Num,CVDCRHD4,Question:  (Ever told) (you had) angina or coronary heart disease?,"{'1': {'Value Label': 'Yes', 'Frequency': '26,551', 'Percentage': '5.96', 'Weighted Percentage': '4.40'}, '2': {'Value Label': 'No', 'Frequency': '414,176', 'Percentage': '93.05', 'Weighted Percentage': '94.67'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '4,044', 'Percentage': '0.91', 'Weighted Percentage': '0.84'}, '9': {'Value Label': 'Refused', 'Frequency': '359', 'Percentage': '0.08', 'Weighted Percentage': '0.10'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '2', 'Percentage': '.', 'Weighted Percentage': '.'}}",,7,
CVDSTRK3,Ever Diagnosed with a Stroke,Chronic Health Conditions,,3,120,Num,CVDSTRK3,Question:  (Ever told) (you had) a stroke.,"{'1': {'Value Label': 'Yes', 'Frequency': '19,239', 'Percentage': '4.32', 'Weighted Percentage': '3.56'}, '2': {'Value Label': 'No', 'Frequency': '424,336', 'Percentage': '95.33', 'Weighted Percentage': '96.01'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '1,274', 'Percentage': '0.29', 'Weighted Percentage': '0.35'}, '9': {'Value Label': 'Refused', 'Frequency': '281', 'Percentage': '0.06', 'Weighted Percentage': '0.08'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '2', 'Percentage': '.', 'Weighted Percentage': '.'}}",,7,
